"ecotypeid"	"srr"
9879	"SRR1946436"
9880	"SRR1946437"
9881	"SRR1946438"
9882	"SRR1946439"
9883	"SRR1946440"
9885	"SRR1946441"
9886	"SRR1946442"
9887	"SRR1946443"
9888	"SRR1946444"
9890	"SRR1946445"
9892	"SRR1946447"
9894	"SRR1946448"
9895	"SRR1946449"
9897	"SRR1946450"
9898	"SRR1946451"
9899	"SRR1946452"
9901	"SRR1946454"
9902	"SRR1946455"
9906	"SRR1946459"
9908	"SRR1946460"
9909	"SRR1946461"
9910	"SRR1946462"
9911	"SRR1946463"
9914	"SRR1946465"
9915	"SRR1946466"
9917	"SRR1946467"
9918	"SRR1946468"
9920	"SRR1946469"
9921	"SRR1946470"
9924	"SRR1946471"
9925	"SRR1946472"
9926	"SRR1946473"
9927	"SRR1946474"
9928	"SRR1946475"
9929	"SRR1946476"
9930	"SRR1946477"
9932	"SRR1946478"
9933	"SRR1946479"
9935	"SRR1946480"
9938	"SRR1946482"
9939	"SRR1946483"
9941	"SRR1946484"
9942	"SRR1946485"
9943	"SRR1946486"
9944	"SRR1946487"
9945	"SRR1946488"
9946	"SRR1946489"
9947	"SRR1946490"
9949	"SRR1946492"
9950	"SRR1946493"
9951	"SRR1946494"
9952	"SRR1946495"
9953	"SRR1946496"
9955	"SRR1946497"
9959	"SRR1946501"
9960	"SRR1946502"
9962	"SRR1946503"
9963	"SRR1946504"
9965	"SRR1946506"
9966	"SRR1946507"
9968	"SRR1946508"
9969	"SRR1946509"
9970	"SRR1946510"
9971	"SRR1946511"
9972	"SRR1946512"
9975	"SRR1946515"
2317	"SRR1945541"
4779	"SRR1945544"
4807	"SRR1945545"
4826	"SRR1945546"
4884	"SRR1945549"
4900	"SRR1945550"
4958	"SRR1945552"
5023	"SRR1945553"
5104	"SRR1945554"
5151	"SRR1945555"
5165	"SRR1945556"
5210	"SRR1945557"
5236	"SRR1945558"
5253	"SRR1945560"
5276	"SRR1945561"
5349	"SRR1945563"
5353	"SRR1945564"
5486	"SRR1945566"
5577	"SRR1945567"
5644	"SRR1945568"
5720	"SRR1945572"
5726	"SRR1945573"
5741	"SRR1945574"
5748	"SRR1945575"
5757	"SRR1945576"
5768	"SRR1945577"
5772	"SRR1945578"
5779	"SRR1945580"
5784	"SRR1945581"
5800	"SRR1945583"
5822	"SRR1945585"
5830	"SRR1945586"
5831	"SRR1945587"
5832	"SRR1945588"
5837	"SRR1945590"
5865	"SRR1945593"
5874	"SRR1945595"
5907	"SRR1945598"
5950	"SRR1945600"
5984	"SRR1945601"
5993	"SRR1945602"
6008	"SRR1945603"
6009	"SRR1945604"
6011	"SRR1945606"
6012	"SRR1945607"
6013	"SRR1945608"
6016	"SRR1945609"
6017	"SRR1945610"
6020	"SRR1945612"
6021	"SRR1945613"
6023	"SRR1945615"
6024	"SRR1945616"
6030	"SRR1945618"
6034	"SRR1945619"
6035	"SRR1945620"
6036	"SRR1945621"
6038	"SRR1945622"
6039	"SRR1945623"
6040	"SRR1945624"
6041	"SRR1945625"
6042	"SRR1945626"
6043	"SRR1945627"
6046	"SRR1945628"
6064	"SRR1945629"
6069	"SRR1945630"
6070	"SRR1945631"
6071	"SRR1945632"
6073	"SRR1945633"
6074	"SRR1945634"
6076	"SRR1945635"
6085	"SRR1945637"
6086	"SRR1945638"
6088	"SRR1945640"
6090	"SRR1945641"
6092	"SRR1945643"
6094	"SRR1945644"
6184	"SRR1945697"
6188	"SRR1945698"
6189	"SRR1945699"
6191	"SRR1945700"
6193	"SRR1945702"
6194	"SRR1945703"
6195	"SRR1945704"
6198	"SRR1945705"
6201	"SRR1945706"
6202	"SRR1945707"
6203	"SRR1945708"
6209	"SRR1945709"
6210	"SRR1945710"
6217	"SRR1945713"
6218	"SRR1945714"
6220	"SRR1945715"
6221	"SRR1945716"
6237	"SRR1945719"
6238	"SRR1945720"
6240	"SRR1945721"
6241	"SRR1945722"
6242	"SRR1945723"
6243	"SRR1945724"
6244	"SRR1945725"
6258	"SRR1945728"
6268	"SRR1945729"
6276	"SRR1945730"
6284	"SRR1945731"
6296	"SRR1945732"
6390	"SRR1945733"
6396	"SRR1945734"
6413	"SRR1945735"
6424	"SRR1945736"
6434	"SRR1945737"
6445	"SRR1945738"
6680	"SRR1945739"
6744	"SRR1945742"
6830	"SRR1945748"
6897	"SRR1945749"
6898	"SRR1945750"
6900	"SRR1945751"
6901	"SRR1945752"
6903	"SRR1945753"
6904	"SRR1945754"
6907	"SRR1945755"
6908	"SRR1945756"
6909	"SRR1945757"
6911	"SRR1945758"
6915	"SRR1945760"
6919	"SRR1945763"
6920	"SRR1945764"
6922	"SRR1945765"
6923	"SRR1945766"
6924	"SRR1945767"
6926	"SRR1945768"
6927	"SRR1945769"
6929	"SRR1945770"
6931	"SRR1945771"
6932	"SRR1945772"
6933	"SRR1945773"
6938	"SRR1945774"
6940	"SRR1945775"
